,0
0,Jazz
1,Country
2,Alternative/Indie
3,Seasonal
4,Bounce
5,Pop rock
6,Vocal/Easy Listening
7,Dance/Electronic
8,Synth-pop
9,Folk rock
10,Rockabilly
11,Children's Music
12,Hip-Hop/Rap
13,House
14,Glam metal
15,R&B/Soul
16,Sunshine pop
17,Hard rock
18,Blues
19,Rock
20,Post-grunge
21,Classical
22,Neue Deutsche Welle
23,New wave
24,Trap
25,Synthwave
26,Adult contemporary
27,Eurodance
28,Pop-punk
29,Classic Soul
30,K-pop
31,Electropop
32,Techno
33,Disco
34,Eurodisco
35,Country rap
36,Surf rock
37,Progressive rock
38,Dancehall
39,Pop
40,Latin rock
41,Funk
42,Teen pop
43,Hip house
44,Soft rock
45,Baroque pop
46,Reggae
47,Rock and roll
48,Chanson
49,Reggaeton
50,Doo-wop
51,Afrobeat
52,Folk
53,Dance-rock
